@relation test_nov-1-30

@attribute ip numeric
@attribute ' rt_w/o_ACK' numeric
@attribute ' rt_under_3' numeric
@attribute ' max_ips_1sub' numeric
@attribute ' max_high' numeric
@attribute ' max_low' numeric
@attribute ' max_cnsc_high' numeric
@attribute ' max_cnsc_low' numeric
@attribute ' num_uniq_dsts' numeric
@attribute ' num_uniq_srcp' numeric
@attribute ' avg_srcp/dst' numeric
@attribute ' rt_std_flags' numeric
@attribute ' rt_over_60' numeric
@attribute ' med_pack/dst' numeric
@attribute ' rt_std_pttrn' numeric
@attribute ' rt_bksctr_pttrn' numeric
@attribute ' rt_dst' numeric
@attribute ' rt_srcp' numeric
@attribute ' rt_bksctr_flags' numeric
@attribute ' min_pack' numeric
@attribute ' max_pack' numeric
@attribute ' mean_pack' numeric
@attribute ' std_dev_pack' numeric
@attribute ' min_dur' numeric
@attribute ' max_dur' numeric
@attribute ' mean_dur' numeric
@attribute ' std_dev_dur' numeric
@attribute ' min_bytes' numeric
@attribute ' max_bytes' numeric
@attribute ' mean_bytes' numeric
@attribute ' std_dev_bytes' numeric
@attribute ' min_bpp' numeric
@attribute ' max_bpp' numeric
@attribute ' mean_bpp' numeric
@attribute ' std_dev_bpp' numeric
@attribute ' tcp_count' numeric
@attribute ' udp_count' numeric
@attribute ' label' numeric

@data
1775566,1,1,2,1,1,1,1,244,239,1,0,0.016393,2,0,0,1,0.979508,0,1,2,1.942623,0.230429,0,3.168,2.785574,0.684647,48,131,95.07377,10.473806,48,131,49.614754,10.40076,240,4,1
1775867,1,1,2,0,1,1,1,100,98,1,0,0,2,0,0,1,0.98,0,2,2,2,0,2.816,3.136,2.96288,0.056242,96,96,96,0,48,48,48,0,100,0,1
1777019,1,1,3,0,1,1,1,325,306,1,0,0,2,0,0,1,0.941538,0,2,2,2,0,2.848,3.072,2.969206,0.06408,96,96,96,0,48,48,48,0,325,0,1
1777170,1,1,1,0,1,1,1,43,43,1,0,0,2,0,0,1,1,0,2,2,2,0,2.816,3.072,2.951442,0.056525,96,96,96,0,48,48,48,0,43,0,1
1777480,1,1,1,0,1,1,1,55,55,1,0,0,2,0,0,1,1,0,1,2,1.981818,0.130564,0,3.04,2.905018,0.388781,52,104,103.054545,6.789306,52,52,52,0,55,0,1
1777971,1,1,1,0,1,1,1,57,57,1,0,0,2,0,0,1,1,0,2,2,2,0,2.848,3.04,2.959719,0.060191,96,96,96,0,48,48,48,0,57,0,1
1778387,1,1,1,0,1,1,1,81,80,1,0,0,2,0,0,1,0.987654,0,2,2,2,0,2.816,3.136,2.968099,0.061832,96,96,96,0,48,48,48,0,81,0,1
1781527,1,1,3,0,1,1,1,169,170,1.005917,0,0,2,0,0,0.994118,1,0,1,2,1.988235,0.107324,0,3.168,2.914259,0.322854,52,104,103.388235,5.580865,52,52,52,0,170,0,1
1783526,1,1,2,0,1,1,1,267,267,1,0,0,2,0,0,1,1,0,2,2,2,0,2.848,3.168,2.981753,0.072469,104,104,104,0,52,52,52,0,267,0,1
1783580,1,1,2,0,1,1,1,85,85,1,0,0,2,0,0,1,1,0,2,2,2,0,2.848,3.168,2.988424,0.07845,96,96,96,0,48,48,48,0,85,0,1
1783645,1,1,1,3,0,1,1,5,1,1,0,1,1,0,0,0.135135,0.027027,0,1,2,1.027027,0.159894,0,2.016,0.054486,0.322346,131,305,242.702703,79.013317,131,305,239.162162,80.925914,0,37,1
1783730,1,1,1,0,1,1,1,56,56,1,0,0,2,0,0,1,1,0,2,2,2,0,2.848,3.072,2.971429,0.055451,96,96,96,0,48,48,48,0,56,0,1
1784102,1,1,2,0,1,1,1,208,209,1.004808,0,0,2,0,0,0.995215,1,0,2,2,2,0,2.848,3.2,2.990699,0.080661,104,104,104,0,52,52,52,0,209,0,1
1784843,1,1,2,0,1,1,1,125,124,1,0,0,2,0,0,1,0.992,0,2,2,2,0,2.816,3.104,2.956544,0.060501,96,96,96,0,48,48,48,0,125,0,1
1785524,1,1,2,0,1,1,1,162,163,1.006173,0,0,2,0,0,0.993865,1,0,1,2,1.98773,0.109114,0,3.136,2.934773,0.330794,52,104,103.361963,5.673954,52,52,52,0,163,0,1
1786174,1,1,2,0,1,1,1,382,365,1.002618,0,0,2,0,0,0.997389,0.953003,0,1,2,1.994778,0.066913,0,3.072,2.940658,0.205842,48,96,95.749347,3.211829,48,48,48,0,383,0,1
1787560,1,1,1,0,1,1,1,42,41,1,0,0,2,0,0,1,0.97619,0,2,2,2,0,2.816,3.008,2.948571,0.041279,96,96,96,0,48,48,48,0,42,0,1
1787838,1,1,5,2,0,1,1,40,28,1.125,0,1,1,0,0,0.533333,0.373333,0,1,2,1.013333,0.113688,0,3.392,0.045227,0.385629,93,630,243.4,111.3662,93,319,239.2,102.440182,0,75,1
1788168,1,1,2,0,1,1,1,217,210,1.004608,0,0,2,0,0,0.995413,0.963303,0,2,2,2,0,2.816,3.168,2.968807,0.064876,96,96,96,0,48,48,48,0,218,0,1
1788607,1,1,2,0,1,1,1,79,80,1.012658,0,0,2,0,0,0.9875,1,0,2,2,2,0,2.816,3.136,2.9452,0.066263,104,104,104,0,52,52,52,0,80,0,1
1788612,1,1,2,1,0,1,1,11,1,1,0,1,1,0,0,0.1375,0.0125,0,1,1,1,0,0,0,0,0,90,300,134.7125,46.316182,90,300,134.7125,46.316182,0,80,1
1788613,1,1,2,0,1,1,1,153,150,1,0,0,2,0,0,1,0.980392,0,2,2,2,0,2.816,3.584,2.950065,0.071423,96,96,96,0,48,48,48,0,153,0,1
1788822,1,1,2,0,1,1,1,147,145,1,0,0,2,0,0,1,0.986395,0,2,2,2,0,2.784,3.136,2.952925,0.067707,96,96,96,0,48,48,48,0,147,0,1
1789379,1,1,1,0,1,1,1,46,46,1,0,0,2,0,0,1,1,0,2,2,2,0,2.848,3.072,2.96,0.058504,96,96,96,0,48,48,48,0,46,0,1
1790597,1,1,2,0,1,1,1,137,135,1,0,0,2,0,0,1,0.985401,0,2,2,2,0,2.816,3.04,2.954978,0.04496,96,120,97.40146,5.606559,48,60,48.70073,2.803279,137,0,1
1790652,1,1,1,1,1,1,1,33,33,1,0,0.030303,2,0,0,1,1,0,1,2,1.969697,0.136525,0,3.04,2.838303,0.405796,96,131,97.060606,4.77836,48,131,50.515152,11.331539,32,1,1
