@relation sample_features_100_ips

@attribute ip numeric
@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute q numeric
@attribute r numeric
@attribute s numeric
@attribute t numeric
@attribute u numeric
@attribute v numeric
@attribute w numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute blah numeric
@attribute threev numeric
@attribute something numeric
@attribute aa numeric
@attribute ab numeric
@attribute ac numeric
@attribute af numeric
@attribute ag numeric
@attribute ap numeric

@data
1771743,1,1,2,0,0,0,0,0,0,191,185,0,0,0,0,0,0,0.994792,0.963542,0,1,2,1.994792,0.071631,0,3.168,2.939167,0.22066,48,96,95.75,3.438274,48,48,48,0,192,0
1772016,1,1,3,0,0,0,0,0,0,286,273,0,0,0,0,0,0,0.996516,0.95122,0,2,2,2,0,2.816,3.072,2.952139,0.051763,96,96,96,0,48,48,48,0,287,0
1772078,0.75,0.833333,1,0,0,0,0,0,0,2,7,0,0.083333,0.25,0,0.083333,0,0.166667,0.583333,0.083333,1,12,2.333333,2.848265,0,6.016,1.026667,1.804691,46,793,176.5,195.161332,46,315,95,85.44823,3,9
1772352,1,1,1,0,0,0,0,0,0,43,43,0,0,0,0,0,0,1,1,0,2,2,2,0,2.784,3.104,2.947721,0.061061,104,104,104,0,52,52,52,0,43,0
1772536,1,1,2,0,0,0,0,0,0,220,219,0,0,0,0,0,0,0.990991,0.986486,0,2,2,2,0,2.816,3.04,2.945874,0.052934,96,96,96,0,48,48,48,0,222,0
1772615,1,1,2,0,0,0,0,0,0,405,404,0,0,0,0,0,0,0.997537,0.995074,0,2,2,2,0,2.784,3.072,2.951409,0.057469,96,96,96,0,48,48,48,0,406,0
1772703,1,0.666667,1,0,0,0,0,0,0,3,3,0,0,0.666667,0,0,0,1,1,0,1,5,2.333333,1.387777,0,1.024,0.341333,0.355271,230,315,286.666667,29.490268,46,315,225.333333,93.328026,0,3
1772783,1,1,1,0,0,0,0,0,0,102,101,0,0,0,0,0,0,1,0.990196,0,2,2,2,0,2.848,3.168,2.97851,0.068645,96,96,96,0,48,48,48,0,102,0
1773312,1,1,2,0,0,0,0,0,0,546,512,0,0,0,0,0,0,0.99635,0.934307,0,1,2,1.994526,0.073613,0,3.072,2.95019,0.22844,48,96,95.737226,3.533406,48,48,48,0,548,0
1773549,1,1,2,0,0,0,0,0,0,308,296,0,0,0,0,0,0,0.996764,0.957929,0,2,2,2,0,2.784,3.072,2.955909,0.05649,96,96,96,0,48,48,48,0,309,0
1773608,1,0.9,2,0,0,0,0,0,0,9,2,0,0,0.9,0,0,0,0.9,0.2,0,1,5,1.4,1.097505,0,0.896,0.0896,0.245841,131,345,253.1,77.900726,46,345,234.7,96.279991,0,10
1773983,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
1774273,1,1,2,0,0,0,0,0,0,114,113,0,0,0,0,0,0,1,0.991228,0,2,2,2,0,2.816,3.136,2.964772,0.05942,96,96,96,0,48,48,48,0,114,0
1774824,1,1,2,0,0,0,0,0,0,56,56,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.072,2.959429,0.054857,96,96,96,0,48,48,48,0,56,0
1774921,1,1,2,0,0,0,0,0,0,70,70,0,0,0,0,0,0,1,1,0,2,2,2,0,2.816,3.072,2.950857,0.051831,96,96,96,0,48,48,48,0,70,0
1775566,1,1,3,0,0,0,0,0,0,552,517,0,0,0.005415,0,0,0,0.99639,0.933213,0,1,2,1.983755,0.126228,0,3.168,2.923032,0.382133,46,315,95.998195,10.759648,46,315,48.777978,12.336904,550,4
1775764,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
1775867,1,1,2,0,0,0,0,0,0,351,339,0,0,0,0,0,0,0.994334,0.96034,0,1,2,1.997167,0.053072,0,3.136,2.947082,0.165613,48,96,95.864023,2.547472,48,48,48,0,353,0
1775955,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0.5,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,2
1776509,1,1,2,0,0,0,0,0,0,176,173,0,0,0,0,0,0,0.99435,0.977401,0,1,2,1.99435,0.074544,0,3.072,2.934237,0.228361,48,96,95.728814,3.578114,48,48,48,0,177,0
1776966,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
1777002,1,1,2,0,0,0,0,0,0,142,140,0,0,0,0,0,0,1,0.985915,0,2,2,2,0,2.848,3.072,2.964056,0.056352,96,96,96,0,48,48,48,0,142,0
1777112,1,1,1,0,0,0,0,0,0,40,40,0,0,0,0,0,0,1,1,0,2,2,2,0,2.848,3.008,2.9512,0.041985,96,96,96,0,48,48,48,0,40,0
1777480,1,1,2,0,0,0,0,0,0,170,170,0,0,0,0,0,0,1,1,0,1,2,1.988235,0.107311,0,3.168,2.918212,0.322317,52,104,103.388235,5.580186,52,52,52,0,170,0
1777648,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
1777911,1,1,2,0,0,0,0,0,0,7,1,0,0,1,0,0,0,0.777778,0.111111,0,1,1,1,0,0,0,0,0,131,315,211.666667,81.455633,131,315,211.666667,81.455633,0,9
1777971,1,1,2,0,0,0,0,0,0,168,167,0,0,0,0,0,0,1,0.994048,0,2,2,2,0,2.816,3.104,2.957905,0.056166,96,96,96,0,48,48,48,0,168,0
1777985,1,1,2,0,0,0,0,0,0,264,256,0,0,0,0,0,0,0.996226,0.966038,0,2,2,2,0,2.816,3.136,2.956317,0.056302,96,96,96,0,48,48,48,0,265,0
1778970,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0.5,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,2
1779044,1,1,2,0,0,0,0,0,0,244,242,0,0,0.01626,0,0,0,0.99187,0.98374,0,1,2,1.98374,0.126104,0,3.168,2.910439,0.379088,104,305,105.146342,13.071706,52,305,53.99187,18.179493,242,4
1779225,1,1,2,0,0,0,0,0,0,202,196,0,0,0,0,0,0,1,0.970297,0,1,2,1.99505,0.069601,0,3.168,2.945743,0.214563,48,96,95.762376,3.340825,48,48,48,0,202,0
1779351,1,1,2,0,0,0,0,0,0,617,572,0,0,0,0,0,0,0.995161,0.922581,0,1,2,1.996774,0.055808,0,3.168,2.957419,0.179369,48,96,95.845161,2.678762,48,48,48,0,620,0
1779435,1,1,2,0,0,0,0,0,0,8,1,0,0,1,0,0,0,0.727273,0.090909,0,1,1,1,0,0,0,0,0,315,345,326.272727,12.685144,315,345,326.272727,12.685144,0,11
1779744,0.5,0,1,0,0,0,0,0,0,1,8,0,0.5,0.571429,0,0.071429,0,0.071429,0.571429,0.5,5,6,5.428571,0.443728,0.512,5.536,2.377143,1.437256,280,502,380.642857,85.423335,56,83,69,10.87068,7,7
1780126,1,1,1,0,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0.5,0,1,1,1,0,0,0,0,0,305,315,310,3.535534,305,315,310,3.535534,0,2
1780139,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
1780172,1,1,1,0,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0.25,0,1,1,1,0,0,0,0,0,126,126,126,0,126,126,126,0,0,4
1780567,1,1,2,0,0,0,0,0,0,86,85,0,0,0,0,0,0,1,0.988372,0,2,2,2,0,2.816,3.072,2.961488,0.048912,96,96,96,0,48,48,48,0,86,0
1780794,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,131,131,131,0,131,131,131,0,0,1
